"Disp (mm)" "Load (kN)" "d (raw)" "f (raw)"
1.6892 2.0003 1.6893 2.2490
1.6726 1.9667 1.6726 2.2154
1.6560 1.9331 1.6560 2.1818
1.6393 1.8998 1.6394 2.1485
1.6226 1.8657 1.6226 2.1144
1.6060 1.8326 1.6060 2.0813
1.5893 1.7997 1.5893 2.0484
1.5726 1.7679 1.5727 2.0166
1.5560 1.7359 1.5560 1.9846
1.5392 1.7036 1.5393 1.9523
1.5226 1.6719 1.5226 1.9206
1.5060 1.6398 1.5060 1.8885
1.4893 1.6089 1.4893 1.8577
1.4726 1.5769 1.4727 1.8257
1.4560 1.5458 1.4560 1.7945
1.4393 1.5152 1.4394 1.7639
1.4226 1.4836 1.4226 1.7323
1.4059 1.4532 1.4060 1.7019
1.3893 1.4238 1.3893 1.6725
1.3726 1.3936 1.3726 1.6423
1.3559 1.3638 1.3560 1.6125
1.3393 1.3334 1.3393 1.5821
1.3226 1.3030 1.3226 1.5518
1.3060 1.2730 1.3060 1.5217
1.2893 1.2434 1.2893 1.4922
1.2726 1.2141 1.2727 1.4629
1.2560 1.1856 1.2560 1.4344
1.2393 1.1572 1.2394 1.4060
1.2226 1.1292 1.2226 1.3779
1.2060 1.1013 1.2060 1.3500
1.1893 1.0724 1.1894 1.3211
1.1727 1.0448 1.1727 1.2935
1.1560 1.0170 1.1560 1.2657
1.1393 0.9885 1.1393 1.2372
1.1226 0.9618 1.1226 1.2106
1.1059 0.9333 1.1060 1.1820
1.0892 0.9070 1.0893 1.1558
1.0726 0.8812 1.0727 1.1300
1.0560 0.8540 1.0560 1.1028
1.0392 0.8286 1.0393 1.0773
1.0226 0.8031 1.0226 1.0518
1.0059 0.7787 1.0060 1.0274
0.9893 0.7526 0.9894 1.0013
0.9726 0.7282 0.9726 0.9769
0.9560 0.7032 0.9560 0.9519
0.9393 0.6783 0.9393 0.9270
0.9226 0.6537 0.9227 0.9025
0.9059 0.6294 0.9060 0.8781
0.8893 0.6063 0.8894 0.8550
0.8726 0.5823 0.8726 0.8310
0.8559 0.5586 0.8560 0.8073
0.8392 0.5351 0.8393 0.7839
0.8226 0.5113 0.8227 0.7601
0.8060 0.4887 0.8060 0.7375
0.7893 0.4656 0.7894 0.7144
0.7726 0.4417 0.7726 0.6904
0.7559 0.4194 0.7560 0.6681
0.7392 0.3982 0.7393 0.6469
0.7226 0.3771 0.7226 0.6259
0.7059 0.3551 0.7060 0.6038
0.6893 0.3334 0.6893 0.5821
0.6726 0.3113 0.6726 0.5600
0.6560 0.2900 0.6560 0.5388
0.6392 0.2685 0.6393 0.5173
0.6226 0.2476 0.6227 0.4964
0.6059 0.2256 0.6060 0.4743
0.5893 0.2051 0.5893 0.4538
0.5726 0.1837 0.5726 0.4325
0.5560 0.1635 0.5560 0.4122
0.5458 0.1512 0.5458 0.4000
0.5458 0.1512 0.5458 0.3999
0.5617 0.1664 0.5618 0.4151
0.5790 0.2068 0.5791 0.4555
0.5958 0.2437 0.5958 0.4924
0.6124 0.2741 0.6125 0.5228
0.6292 0.3072 0.6292 0.5559
0.6458 0.3442 0.6458 0.5930
0.6625 0.3795 0.6625 0.6282
0.6791 0.4131 0.6792 0.6618
