   
   
   
"Disp (mm)" "Load (kN)" " d (raw)" "f (raw)"
1.9743 3.3100 1.9743 3.6213
1.9576 3.2469 1.9576 3.5582
1.9410 3.1851 1.9410 3.4964
1.9243 3.1236 1.9243 3.4350
1.9076 3.0610 1.9076 3.3724
1.8909 3.0006 1.8909 3.3119
1.8743 2.9428 1.8743 3.2541
1.8577 2.8879 1.8577 3.1992
1.8410 2.8364 1.8410 3.1477
1.8243 2.7847 1.8243 3.0960
1.8076 2.7332 1.8076 3.0445
1.7909 2.6822 1.7909 2.9935
1.7743 2.6304 1.7743 2.9417
1.7576 2.5798 1.7576 2.8912
1.7410 2.5309 1.7410 2.8422
1.7244 2.4809 1.7244 2.7922
1.7076 2.4340 1.7076 2.7453
1.6910 2.3865 1.6910 2.6978
1.6743 2.3390 1.6743 2.6503
1.6576 2.2922 1.6576 2.6035
1.6410 2.2452 1.6410 2.5566
1.6243 2.1982 1.6243 2.5095
1.6076 2.1531 1.6076 2.4644
1.5910 2.1068 1.5910 2.4181
1.5743 2.0612 1.5743 2.3725
1.5576 2.0169 1.5576 2.3283
1.5410 1.9722 1.5410 2.2835
1.5243 1.9302 1.5243 2.2415
1.5076 1.8864 1.5076 2.1977
1.4910 1.8436 1.4910 2.1549
1.4743 1.8018 1.4743 2.1131
1.4576 1.7591 1.4576 2.0704
1.4410 1.7178 1.4410 2.0291
1.4243 1.6766 1.4243 1.9879
1.4077 1.6348 1.4077 1.9461
1.3910 1.5943 1.3910 1.9056
1.3743 1.5543 1.3743 1.8656
1.3576 1.5151 1.3576 1.8264
1.3410 1.4760 1.3410 1.7873
1.3243 1.4375 1.3243 1.7488
1.3077 1.3983 1.3077 1.7096
1.2909 1.3606 1.2909 1.6719
1.2743 1.3215 1.2743 1.6329
1.2576 1.2842 1.2576 1.5956
1.2410 1.2458 1.2410 1.5571
1.2242 1.2083 1.2242 1.5196
1.2076 1.1724 1.2076 1.4837
1.1910 1.1361 1.1910 1.4475
1.1743 1.0999 1.1743 1.4112
1.1576 1.0660 1.1576 1.3773
1.1410 1.0320 1.1410 1.3433
1.1243 0.9979 1.1243 1.3093
1.1076 0.9643 1.1076 1.2756
1.0909 0.9321 1.0909 1.2434
1.0743 0.8996 1.0743 1.2109
1.0576 0.8686 1.0576 1.1799
